parameter,value,uncertainty
numax_smooth,106.27828908,1.0743301878039664
amp_smooth,862.8212460234938,76.08774635847946
numax_gaussian,106.29529917431043,0.756150523566167
amp_gaussian,773.9114346128412,72.64663766458108
fwhm_gaussian,13.960096167598861,0.7653838649659046
dnu,9.360004914112578,0.02702582691302452
wn,2.111563562482799,0.8213669193400094
a_1,21357409704.791824,1032832574.7541333
b_1,30.441384998867527,19.17858366742948
a_2,2944.711413823779,251.76140680275375
b_2,0.0321356892701814,0.0025985050514691858
a_3,784.0177074142576,142.5610696684231
b_3,0.010967722436377324,0.0006807553912702187
