parameter,value,uncertainty
numax_smooth,106.25896576,1.1889254058595762
amp_smooth,866.4604317791321,85.95562505808734
numax_gaussian,106.33160940445845,0.8954449155115594
amp_gaussian,773.6922305939931,76.88066808780401
fwhm_gaussian,13.720001599489242,0.9831169541423029
dnu,9.360906373386694,0.024509174250084607
wn,1.959698465255513,0.7573475868689084
a_1,20189565916.702023,183025159.1623875
b_1,30.02596638870747,12.787012927242264
a_2,2942.64080658603,218.6562826746952
b_2,0.032262308794127795,0.0025611194233540885
a_3,790.1998725210341,140.81714672596772
b_3,0.01095204030347219,0.000601084077685707
