parameter,value,uncertainty
numax_smooth,106.31307107,1.0743301803909389
A_smooth,850.2939098591008,75.64798594124392
numax_gauss,106.38447578797816,0.8144984447845716
A_gauss,777.7257877421962,69.76173741549093
FWHM,14.277196850393329,0.9581386114888842
dnu,9.263324772135134,0.0696756784672881
tau_1,5176.906234873109,401.8106251837046
sigma_1,399.75763409312765,22.816278198912517
tau_2,1746.953112485752,103.2244268851348
sigma_2,338.81533489815473,31.461843051982544
white,2.78918883681886,0.8304241572846615
