##################################################################################################
# Global oscillation parameters of the SYD pipeline for KASC WG1 stars, based on 2015 analysis 
# of all SC data prepared by Rasmus Handberg & Mikkel Lund. 
#
# Solar reference values of SYD pipeline:
# Dnu(Sun): 135.1 +/- 0.1 muHz
# numax(Sun): 3090 +/- 30 muHz
# NOTE: uncertainties are the scatter of 111 30d subsets of VIRGO green channel data 
# (see Huber et al. 2011)
#
# range_low + range_up: minimum + maximum frequency used to calculate Dnu
# numax + sig_numax: frequency of maximum power + 1-sigma uncertainty
# Dnu + sig_Dnu: large frequency separation + 1-sigma uncertainty
# Length: Length of input SC time series in days
# DetFlag: Status flag of detection (0=good,1=numax unreliable,2=Dnu unreliable)
# SrcFlag: Source of detection (0=reprocessed 2015 data, 1=Chaplin et al. 2014 analysis)
#
# DH  Jul 30 2015
##################################################################################################
    KIC    |  range_low |  range_up  |   numax    | sig_numax |   dnu    | sig_dnu | Length  | DetFlag | SrcFlag
   1430163  |  1084.064  |  2649.936  |  1775.247  |   72.128  |  85.873  |  1.879  |   84.4  |  0      |  0
   1435467  |   812.903  |  1987.097  |  1382.311  |    9.148  |  70.558  |  0.053  |  938.1  |  0      |  0
   1725815  |   606.774  |  1483.226  |  1044.287  |   47.036  |  55.942  |  0.462  |   92.5  |  0      |  0
   2010607  |   361.817  |   951.889  |   674.919  |  138.543  |  42.479  |  1.374  |   28.9  |  0      |  1
   2309595  |   373.355  |   912.645  |   643.208  |    9.052  |  39.029  |  0.512  |   28.9  |  0      |  0
   2450729  |   625.689  |  1580.407  |  1053.105  |   87.546  |  61.910  |  0.562  |   28.9  |  0      |  1
   2837475  |   946.452  |  2313.548  |  1629.761  |    8.774  |  75.720  |  0.055  | 1029.4  |  0      |  0
   2849125  |   422.710  |  1033.290  |   722.576  |   26.115  |  41.322  |  1.969  |   24.9  |  0      |  0
   2852862  |   580.645  |  1419.355  |   983.522  |   11.637  |  53.556  |  0.125  |  523.7  |  0      |  0
   2865774  |   726.968  |  1777.032  |  1239.891  |   70.932  |  63.533  |  4.143  |   33.4  |  0      |  0
   2991448  |   609.677  |  1490.323  |  1111.248  |   14.285  |  61.732  |  0.157  |   92.6  |  0      |  0
   2998253  |  1083.484  |  2648.516  |  1884.738  |  223.264  |  87.227  |  5.604  |   31.0  |  1      |  0
   3112152  |   707.806  |  1730.194  |  1221.493  |   42.965  |  65.130  |  2.003  |   26.1  |  0      |  0
   3112889  |   508.645  |  1243.355  |   871.525  |   57.588  |  53.709  |  1.861  |   31.0  |  0      |  0
   3115178  |   250.258  |   611.742  |   428.866  |    5.852  |  28.414  |  0.690  |   29.4  |  0      |  0
   3123191  |  1095.677  |  2678.323  |  1740.659  |   58.737  |  89.446  |  2.996  |   25.6  |  0      |  0
   3223000  |  1422.581  |  3477.419  |  2573.222  |  539.752  | 110.919  |  1.633  |   32.4  |  1      |  0
   3236382  |   963.290  |  2354.710  |  1565.974  |  122.689  |  75.745  |  3.638  |   28.5  |  0      |  0
