parameter,value,uncertainty
numax_smooth,1312.61897509,76.89435909874446
amp_smooth,1.3402782519562813,0.3458663565579848
numax_gaussian,1366.6894289037602,52.112246481861234
amp_gaussian,1.197533070746427,0.28569592654866865
fwhm_gaussian,271.64169701524634,59.286522137954755
dnu,71.43672312707604,0.889584077459714
wn,1.389767022136842,0.028029016689968884
a_1,6.130306195843529,1.4914431484930417
b_1,0.0019533123382860836,0.0010138103688029322
a_2,1.7431579406960986,1.884186894027461
b_2,0.0006296033019176558,0.00023734581508031365
